data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
19/12/2023;11:40:00;TERESOPOLIS;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Rotatória";-22,46416302;-42,99215699
19/12/2023;14:25:00;FORTALEZA;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;-3,737804;-38,578061
19/12/2023;13:21:00;PICOS;Pista Escorregadia;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;"Curva;Declive";-7,02245207;-41,56280109
19/12/2023;17:40:00;SENADOR ELOI DE SOUZA;Ausência de sinalização;Colisão traseira;Sem Vítimas;Anoitecer;Crescente;Céu Claro;Simples;Reta;-6,05016006;-35,67466683
19/12/2023;18:20:00;RECIFE;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;-7,96346213;-34,91513486
19/12/2023;19:30:00;SERRA;Deficiência do Sistema de Iluminação/Sinalização;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;"Reta;Aclive";-20,218122;-40,339325
19/12/2023;19:00:00;CANAS;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;-22,72573145;-45,06977708
19/12/2023;21:35:00;ARAQUARI;Afundamento ou ondulação no pavimento;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;-26,37043169;-48,69219602
19/12/2023;17:30:00;CARAVELAS;Pista Escorregadia;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Chuva;Simples;Curva;-17,68818485;-39,77334023
19/12/2023;15:00:00;PARANAIBA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-19,41687985;-51,39039285
19/12/2023;22:10:00;SAO MATEUS;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;"Curva;Aclive";-18,69020499;-39,86154403
19/12/2023;21:45:00;NOVA SANTA RITA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Dupla;Reta;-29,85803;-51,261227
03/12/2023;18:35:00;CANTA;Manobra de mudança de faixa;Eventos atípicos;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Reta;2,79638488;-60,6693095
19/12/2023;23:00:00;FEIRA DE SANTANA;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-12,267113;-38,966988
19/12/2023;19:40:00;JI-PARANA;Acumulo de areia ou detritos sobre o pavimento;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Não Informado;Céu Claro;Simples;Curva;-10,885468;-61,936473
19/12/2023;15:10:00;POCONE;Acumulo de água sobre o pavimento;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Chuva;Simples;Curva;-15,92881289;-56,95132256
20/12/2023;05:42:00;SIDROLANDIA;Acumulo de água sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-20,90170052;-54,93478954
20/12/2023;06:00:00;ALFREDO WAGNER;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Decrescente;Sol;Simples;Curva;-27,755424;-49,39444
20/12/2023;07:45:00;PORTO ALEGRE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;-29,988646;-51,236553
20/12/2023;06:30:00;BRASILIA;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Dupla;"Reta;Aclive";-15,675484;-47,823761
25/07/2023;09:30:00;MARTINS SOARES;Acumulo de areia ou detritos sobre o pavimento;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;"Declive;Curva";-20,25054582;-41,83493898
20/12/2023;08:00:00;TRES DE MAIO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;-27,7743927;-54,30885315
20/12/2023;05:30:00;POMBAL;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Simples;Reta;-6,7359;-37,9238
20/12/2023;07:30:00;PROFESSOR JAMIL;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Reta;Declive";-17,2013;-49,2083
20/12/2023;09:00:00;CONSELHEIRO LAFAIETE;Conversão proibida;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;"Declive;Reta";-20,703504;-43,792678
20/12/2023;06:00:00;GRAO MOGOL;Chuva;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Simples;Reta;-16,47078134;-43,40805531
20/12/2023;11:16:00;GARANHUNS;Ultrapassagem Indevida;Colisão frontal;Sem Vítimas;Pleno dia;Crescente;Nublado;Simples;"Reta;Interseção de Vias";-8,8796227;-36,49484286
