data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
27/04/2026;16:15:00;MAUA DA SERRA;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;-23,9316;-51,13067
27/04/2026;13:15:00;CACHOEIRA DO SUL;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;-29,99661365;-52,92339412
27/04/2026;14:00:00;BOA VISTA DO TUPIM;Pista esburacada;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;-12,45333933;-40,65559387
27/04/2026;18:50:00;MINAS DO LEAO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-30,14489437;-52,04916414
27/04/2026;18:25:00;IMBITUBA;Acesso irregular;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-28,328741;-48,731972
27/04/2026;20:15:00;CAMPO LARGO;Ultrapassagem Indevida;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;-25,4465492;-49,48874116
27/04/2026;19:20:00;BELA VISTA DO MARANHAO;Pista esburacada;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Reta;-3,75546914;-45,22712946
27/04/2026;06:10:00;SAO MIGUEL DOS CAMPOS;Retorno proibido;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-9,80185661;-36,11214487
27/04/2026;17:10:00;QUEIMADAS;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;"Reta;Declive";-7,36555367;-35,90132028
27/04/2026;07:30:00;ANAPOLIS;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Aclive;Reta";-16,277689;-48,941601
26/04/2026;04:30:00;ROSARIO OESTE;Falta de acostamento;Colisão lateral mesmo sentido;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Simples;Reta;-14,847218;-56,44754
26/04/2026;08:26:00;MOSSORO;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-5,239963;-37,332017
26/04/2026;10:00:00;AGUA SANTA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;"Aclive;Reta";-28,296614;-52,007867
26/04/2026;16:10:00;GUARANTA DO NORTE;Velocidade Incompatível;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;"Ponte;Reta;Declive";-9,817428;-54,88634
26/04/2026;17:30:00;SANTO ANTONIO DO AMPARO;Acesso irregular;Tombamento;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Dupla;Reta;-20,867585;-44,842132
26/04/2026;19:33:00;PATU;Ausência de sinalização;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-6,095212;-37,642745
26/04/2026;22:40:00;VITORIA DA CONQUISTA;Pista esburacada;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-14,75644861;-40,68991801
26/04/2026;22:30:00;CAMPINA GRANDE DO SUL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Fatais;Plena Noite;Decrescente;Chuva;Dupla;Curva;-25,18185446;-48,87934017
